Hybrid Ocean Spectrum Export
WindSpeed,5.000
RegionSize,100
N_omega,32
N_theta,8
Date,20251211_185318

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000040,0.000032,0.000003,0.000003,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000004,0.000003,0.000035,0.000032
omega2,0.000640,0.000622,0.000073,0.000062,0.000067,0.000049,0.000060,0.000044,0.000059,0.000044,0.000060,0.000049,0.000071,0.000062,0.000619,0.000622
omega3,0.003623,0.003550,0.000478,0.000380,0.000376,0.000302,0.000364,0.000277,0.000376,0.000277,0.000366,0.000302,0.000383,0.000380,0.004066,0.003550
omega4,0.009188,0.010009,0.001162,0.001172,0.001135,0.000957,0.001181,0.000887,0.001167,0.000887,0.001236,0.000957,0.001276,0.001172,0.010895,0.010009
omega5,0.019647,0.019471,0.002717,0.002585,0.002446,0.002191,0.002766,0.002059,0.002667,0.002059,0.002694,0.002191,0.002794,0.002585,0.018368,0.019471
omega6,0.034666,0.037329,0.005553,0.005866,0.005977,0.005225,0.006422,0.005005,0.006557,0.005005,0.006165,0.005225,0.006368,0.005866,0.035503,0.037329
omega7,0.067596,0.069274,0.013543,0.013592,0.013947,0.012928,0.015757,0.012704,0.015451,0.012704,0.014081,0.012928,0.014243,0.013592,0.065216,0.069274
omega8,0.060240,0.066808,0.015073,0.014013,0.014986,0.013595,0.016784,0.013461,0.016676,0.013461,0.015314,0.013595,0.013873,0.014013,0.062207,0.066809
omega9,0.037262,0.039600,0.007443,0.007395,0.007489,0.006931,0.008535,0.006773,0.008406,0.006773,0.007592,0.006931,0.007458,0.007395,0.037597,0.039600
omega10,0.020352,0.022137,0.003723,0.003759,0.003636,0.003425,0.004036,0.003311,0.004058,0.003311,0.003862,0.003425,0.003602,0.003759,0.021251,0.022137
omega11,0.014772,0.014938,0.002283,0.002344,0.002327,0.002087,0.002419,0.001999,0.002408,0.001999,0.002236,0.002087,0.002395,0.002344,0.013686,0.014938
omega12,0.010785,0.011407,0.001688,0.001676,0.001586,0.001464,0.001678,0.001391,0.001689,0.001391,0.001552,0.001464,0.001685,0.001676,0.010811,0.011407
omega13,0.008165,0.008967,0.001267,0.001247,0.001170,0.001071,0.001217,0.001012,0.001220,0.001012,0.001136,0.001071,0.001277,0.001247,0.008082,0.008967
omega14,0.006517,0.007036,0.000917,0.000933,0.000857,0.000790,0.000895,0.000743,0.000893,0.000743,0.000870,0.000790,0.000903,0.000933,0.006348,0.007036
omega15,0.005087,0.005498,0.000701,0.000700,0.000650,0.000586,0.000657,0.000548,0.000669,0.000548,0.000622,0.000586,0.000690,0.000700,0.005112,0.005498
omega16,0.003822,0.004289,0.000514,0.000528,0.000461,0.000437,0.000484,0.000407,0.000490,0.000407,0.000464,0.000437,0.000505,0.000528,0.003888,0.004289
omega17,0.003160,0.003349,0.000385,0.000400,0.000352,0.000328,0.000362,0.000305,0.000365,0.000305,0.000353,0.000328,0.000385,0.000400,0.003067,0.003349
omega18,0.002336,0.002620,0.000289,0.000305,0.000258,0.000248,0.000273,0.000230,0.000276,0.000230,0.000263,0.000248,0.000301,0.000305,0.002457,0.002620
omega19,0.001809,0.002057,0.000219,0.000234,0.000200,0.000189,0.000209,0.000175,0.000208,0.000175,0.000198,0.000189,0.000227,0.000234,0.001850,0.002057
omega20,0.001473,0.001622,0.000174,0.000181,0.000153,0.000145,0.000159,0.000134,0.000160,0.000134,0.000154,0.000145,0.000174,0.000181,0.001449,0.001622
omega21,0.001177,0.001285,0.000136,0.000141,0.000118,0.000112,0.000123,0.000103,0.000123,0.000103,0.000120,0.000112,0.000134,0.000141,0.001137,0.001285
omega22,0.000937,0.001023,0.000106,0.000110,0.000092,0.000088,0.000095,0.000080,0.000096,0.000080,0.000092,0.000088,0.000105,0.000110,0.000913,0.001023
omega23,0.000755,0.000819,0.000083,0.000087,0.000073,0.000069,0.000075,0.000063,0.000075,0.000063,0.000073,0.000069,0.000082,0.000087,0.000723,0.000819
omega24,0.000601,0.000659,0.000066,0.000069,0.000057,0.000055,0.000059,0.000050,0.000059,0.000050,0.000057,0.000055,0.000068,0.000069,0.000578,0.000659
omega25,0.000480,0.000533,0.000054,0.000055,0.000046,0.000043,0.000046,0.000040,0.000047,0.000040,0.000045,0.000043,0.000053,0.000055,0.000475,0.000533
omega26,0.000385,0.000433,0.000043,0.000044,0.000037,0.000035,0.000038,0.000032,0.000037,0.000032,0.000036,0.000035,0.000043,0.000044,0.000390,0.000433
omega27,0.000320,0.000354,0.000034,0.000036,0.000029,0.000028,0.000030,0.000026,0.000030,0.000026,0.000029,0.000028,0.000034,0.000036,0.000320,0.000354
omega28,0.000263,0.000291,0.000028,0.000029,0.000024,0.000023,0.000024,0.000021,0.000024,0.000021,0.000024,0.000023,0.000028,0.000029,0.000259,0.000291
omega29,0.000215,0.000240,0.000023,0.000024,0.000020,0.000019,0.000020,0.000017,0.000020,0.000017,0.000020,0.000019,0.000023,0.000024,0.000216,0.000240
omega30,0.000177,0.000199,0.000019,0.000020,0.000016,0.000015,0.000016,0.000014,0.000016,0.000014,0.000016,0.000015,0.000019,0.000020,0.000175,0.000199
omega31,0.000147,0.000166,0.000016,0.000016,0.000013,0.000013,0.000014,0.000012,0.000014,0.000012,0.000013,0.000013,0.000016,0.000016,0.000148,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.316638,0.336619
1,0.058811,0.058005
2,0.058603,0.053452
3,0.064802,0.051924
4,0.064338,0.051924
5,0.059748,0.053452
6,0.059219,0.058005
7,0.317843,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000095,0.000080
2,0.001648,0.001555
3,0.010032,0.009016
4,0.027240,0.026051
5,0.054098,0.052610
6,0.107210,0.106849
7,0.219833,0.216994
8,0.215152,0.215755
9,0.121783,0.121398
10,0.064521,0.065264
11,0.042526,0.042736
12,0.031474,0.031876
13,0.023533,0.024593
14,0.018201,0.019004
15,0.014189,0.014665
16,0.010628,0.011323
17,0.008430,0.008763
18,0.006453,0.006806
19,0.004921,0.005310
20,0.003897,0.004164
21,0.003068,0.003283
22,0.002436,0.002603
23,0.001937,0.002076
24,0.001546,0.001665
25,0.001246,0.001343
26,0.001009,0.001089
27,0.000828,0.000888
28,0.000674,0.000728
29,0.000557,0.000600
30,0.000455,0.000497
31,0.000380,0.000414

End
