Height Histogram Export
Region,0
Bins,64
Min,-0.6529781
Max,0.6498872
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-0.652978,-0.632621,5,0.00001907
1,-0.632621,-0.612264,9,0.00003433
2,-0.612264,-0.591906,5,0.00001907
3,-0.591906,-0.571549,11,0.00004196
4,-0.571549,-0.551192,15,0.00005722
5,-0.551192,-0.530835,23,0.00008774
6,-0.530835,-0.510477,61,0.00023270
7,-0.510477,-0.490120,100,0.00038147
8,-0.490120,-0.469763,136,0.00051880
9,-0.469763,-0.449405,233,0.00088882
10,-0.449405,-0.429048,280,0.00106812
11,-0.429048,-0.408691,332,0.00126648
12,-0.408691,-0.388334,381,0.00145340
13,-0.388334,-0.367976,596,0.00227356
14,-0.367976,-0.347619,886,0.00337982
15,-0.347619,-0.327262,1258,0.00479889
16,-0.327262,-0.306905,1684,0.00642395
17,-0.306905,-0.286547,2145,0.00818253
18,-0.286547,-0.266190,2635,0.01005173
19,-0.266190,-0.245833,3352,0.01278687
20,-0.245833,-0.225476,4281,0.01633072
21,-0.225476,-0.205118,5283,0.02015305
22,-0.205118,-0.184761,6235,0.02378464
23,-0.184761,-0.164404,7164,0.02732849
24,-0.164404,-0.144046,8689,0.03314590
25,-0.144046,-0.123689,10032,0.03826904
26,-0.123689,-0.103332,11196,0.04270935
27,-0.103332,-0.082975,12312,0.04696655
28,-0.082975,-0.062617,13327,0.05083847
29,-0.062617,-0.042260,13552,0.05169678
30,-0.042260,-0.021903,14024,0.05349731
31,-0.021903,-0.001545,14120,0.05386353
32,-0.001545,0.018812,14228,0.05427551
33,0.018812,0.039169,14248,0.05435181
34,0.039169,0.059526,13604,0.05189514
35,0.059526,0.079884,12742,0.04860687
36,0.079884,0.100241,11765,0.04487991
37,0.100241,0.120598,10648,0.04061890
38,0.120598,0.140955,9559,0.03646469
39,0.140955,0.161313,8135,0.03103256
40,0.161313,0.181670,6854,0.02614594
41,0.181670,0.202027,5722,0.02182770
42,0.202027,0.222385,4527,0.01726913
43,0.222385,0.242742,3531,0.01346970
44,0.242742,0.263099,2720,0.01037598
45,0.263099,0.283456,2175,0.00829697
46,0.283456,0.303814,1714,0.00653839
47,0.303814,0.324171,1393,0.00531387
48,0.324171,0.344528,1099,0.00419235
49,0.344528,0.364885,835,0.00318527
50,0.364885,0.385243,630,0.00240326
51,0.385243,0.405600,471,0.00179672
52,0.405600,0.425957,385,0.00146866
53,0.425957,0.446315,264,0.00100708
54,0.446315,0.466672,177,0.00067520
55,0.466672,0.487029,105,0.00040054
56,0.487029,0.507386,84,0.00032043
57,0.507386,0.527744,63,0.00024033
58,0.527744,0.548101,41,0.00015640
59,0.548101,0.568458,28,0.00010681
60,0.568458,0.588815,9,0.00003433
61,0.588815,0.609173,10,0.00003815
62,0.609173,0.629530,7,0.00002670
63,0.629530,0.649887,9,0.00003433
