Hybrid Ocean Spectrum Export
WindSpeed,10.000
RegionSize,100
N_omega,16
N_theta,8
Date,20251205_125923

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000011,0.000007,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000011,0.000007
omega1,0.004193,0.003395,0.000333,0.000351,0.000332,0.000276,0.000359,0.000252,0.000351,0.000252,0.000375,0.000276,0.000455,0.000351,0.003441,0.003395
omega2,0.027504,0.029208,0.003708,0.003625,0.003471,0.003011,0.003419,0.002808,0.003647,0.002808,0.003715,0.003011,0.003590,0.003625,0.033194,0.029208
omega3,0.095393,0.108486,0.020264,0.018909,0.018929,0.017366,0.020509,0.016836,0.020818,0.016836,0.020043,0.017366,0.019917,0.018909,0.112286,0.108486
omega4,0.102910,0.109035,0.020783,0.021514,0.022647,0.020498,0.024954,0.020155,0.024618,0.020155,0.021622,0.020498,0.020545,0.021514,0.107753,0.109035
omega5,0.032381,0.036258,0.005886,0.005908,0.005640,0.005319,0.006190,0.005117,0.006081,0.005117,0.005583,0.005319,0.005718,0.005908,0.033672,0.036258
omega6,0.018690,0.020628,0.002984,0.002945,0.002571,0.002550,0.002851,0.002416,0.002857,0.002416,0.002638,0.002550,0.002844,0.002945,0.018198,0.020628
omega7,0.011402,0.012696,0.001568,0.001649,0.001442,0.001388,0.001524,0.001301,0.001499,0.001301,0.001472,0.001388,0.001546,0.001649,0.011802,0.012696
omega8,0.006801,0.007732,0.000839,0.000937,0.000801,0.000772,0.000819,0.000718,0.000832,0.000718,0.000793,0.000772,0.000912,0.000937,0.006774,0.007732
omega9,0.004161,0.004736,0.000516,0.000544,0.000450,0.000442,0.000467,0.000408,0.000463,0.000408,0.000443,0.000442,0.000511,0.000544,0.003934,0.004736
omega10,0.002523,0.002944,0.000295,0.000325,0.000260,0.000261,0.000270,0.000240,0.000271,0.000240,0.000263,0.000261,0.000300,0.000325,0.002536,0.002944
omega11,0.001611,0.001866,0.000184,0.000199,0.000160,0.000159,0.000163,0.000145,0.000161,0.000145,0.000156,0.000159,0.000184,0.000199,0.001585,0.001866
omega12,0.001020,0.001208,0.000114,0.000126,0.000098,0.000099,0.000101,0.000091,0.000101,0.000091,0.000098,0.000099,0.000114,0.000126,0.001048,0.001208
omega13,0.000671,0.000799,0.000074,0.000082,0.000063,0.000064,0.000065,0.000058,0.000065,0.000058,0.000064,0.000064,0.000073,0.000082,0.000675,0.000799
omega14,0.000451,0.000539,0.000049,0.000054,0.000042,0.000042,0.000043,0.000038,0.000042,0.000038,0.000041,0.000042,0.000049,0.000054,0.000448,0.000539
omega15,0.000313,0.000371,0.000033,0.000037,0.000028,0.000029,0.000029,0.000026,0.000029,0.000026,0.000028,0.000029,0.000033,0.000037,0.000314,0.000371

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.310037,0.339910
1,0.057631,0.057204
2,0.056936,0.052276
3,0.061764,0.050610
4,0.061835,0.050610
5,0.057336,0.052276
6,0.056791,0.057204
7,0.337670,0.339910

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000027,0.000018
1,0.009839,0.008546
2,0.082247,0.077303
3,0.328160,0.323194
4,0.345831,0.342405
5,0.101149,0.105201
6,0.053634,0.057077
7,0.032257,0.034069
8,0.018571,0.020319
9,0.010946,0.012260
10,0.006718,0.007539
11,0.004204,0.004740
12,0.002694,0.003049
13,0.001750,0.002006
14,0.001165,0.001349
15,0.000807,0.000926

End
