Hybrid Ocean Spectrum Export
WindSpeed,10.000
RegionSize,100
N_omega,16
N_theta,8
Date,20251205_124920

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000007,0.000000,0.000001,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000001,0.000000,0.000007
omega1,0.000467,0.003395,0.000064,0.000351,0.000046,0.000276,0.000041,0.000252,0.000045,0.000252,0.000047,0.000276,0.000045,0.000351,0.000522,0.003395
omega2,0.007097,0.029208,0.001013,0.003625,0.000951,0.003011,0.000864,0.002808,0.000864,0.002808,0.000927,0.003011,0.000998,0.003625,0.007689,0.029208
omega3,0.054479,0.108486,0.007428,0.018909,0.009002,0.017366,0.009000,0.016836,0.009545,0.016836,0.008299,0.017366,0.008347,0.018909,0.047449,0.108486
omega4,0.077716,0.109035,0.015857,0.021514,0.016187,0.020498,0.018039,0.020155,0.017957,0.020155,0.015523,0.020498,0.015509,0.021514,0.066235,0.109035
omega5,0.035975,0.036258,0.006388,0.005908,0.006440,0.005319,0.006714,0.005117,0.006921,0.005117,0.006505,0.005319,0.006819,0.005908,0.037443,0.036258
omega6,0.031829,0.020628,0.004818,0.002945,0.004399,0.002550,0.004765,0.002416,0.004872,0.002416,0.004471,0.002550,0.004639,0.002945,0.030826,0.020628
omega7,0.028536,0.012696,0.003947,0.001649,0.003514,0.001388,0.003641,0.001301,0.003657,0.001301,0.003553,0.001388,0.003766,0.001649,0.027199,0.012696
omega8,0.024894,0.007732,0.003387,0.000937,0.002881,0.000772,0.002778,0.000718,0.002830,0.000718,0.002684,0.000772,0.003042,0.000937,0.024769,0.007732
omega9,0.020923,0.004736,0.002521,0.000544,0.002185,0.000442,0.002192,0.000408,0.002218,0.000408,0.002199,0.000442,0.002420,0.000544,0.020962,0.004736
omega10,0.016753,0.002944,0.001996,0.000325,0.001732,0.000261,0.001699,0.000240,0.001667,0.000240,0.001660,0.000261,0.001978,0.000325,0.016490,0.002944
omega11,0.014112,0.001866,0.001567,0.000199,0.001361,0.000159,0.001348,0.000145,0.001327,0.000145,0.001328,0.000159,0.001554,0.000199,0.014202,0.001866
omega12,0.012164,0.001208,0.001277,0.000126,0.001092,0.000099,0.001093,0.000091,0.001083,0.000091,0.001075,0.000099,0.001303,0.000126,0.011704,0.001208
omega13,0.009860,0.000799,0.001061,0.000082,0.000896,0.000064,0.000867,0.000058,0.000867,0.000058,0.000879,0.000064,0.001053,0.000082,0.009950,0.000799
omega14,0.008494,0.000539,0.000901,0.000054,0.000731,0.000042,0.000723,0.000038,0.000710,0.000038,0.000732,0.000042,0.000885,0.000054,0.008653,0.000539
omega15,0.007239,0.000371,0.000739,0.000037,0.000619,0.000029,0.000602,0.000026,0.000597,0.000026,0.000612,0.000029,0.000744,0.000037,0.007241,0.000371

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.350538,0.339910
1,0.052964,0.057204
2,0.052037,0.052276
3,0.054366,0.050610
4,0.055162,0.050610
5,0.050494,0.052276
6,0.053103,0.057204
7,0.331336,0.339910

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000018
1,0.001278,0.008546
2,0.020403,0.077303
3,0.153549,0.323194
4,0.243024,0.342405
5,0.113204,0.105201
6,0.090619,0.057077
7,0.077814,0.034069
8,0.067265,0.020319
9,0.055621,0.012260
10,0.043975,0.007539
11,0.036800,0.004740
12,0.030792,0.003049
13,0.025433,0.002006
14,0.021829,0.001349
15,0.018394,0.000926

End
