Height Histogram Export
Region,0
Bins,64
Min,-0.7353504
Max,0.58555
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-0.735350,-0.714711,3,0.00001144
1,-0.714711,-0.694072,3,0.00001144
2,-0.694072,-0.673433,4,0.00001526
3,-0.673433,-0.652794,5,0.00001907
4,-0.652794,-0.632155,7,0.00002670
5,-0.632155,-0.611516,9,0.00003433
6,-0.611516,-0.590877,18,0.00006866
7,-0.590877,-0.570238,23,0.00008774
8,-0.570238,-0.549599,34,0.00012970
9,-0.549599,-0.528960,45,0.00017166
10,-0.528960,-0.508321,66,0.00025177
11,-0.508321,-0.487682,92,0.00035095
12,-0.487682,-0.467043,126,0.00048065
13,-0.467043,-0.446403,226,0.00086212
14,-0.446403,-0.425764,314,0.00119782
15,-0.425764,-0.405125,359,0.00136948
16,-0.405125,-0.384486,511,0.00194931
17,-0.384486,-0.363847,682,0.00260162
18,-0.363847,-0.343208,1004,0.00382996
19,-0.343208,-0.322569,1280,0.00488281
20,-0.322569,-0.301930,1661,0.00633621
21,-0.301930,-0.281291,2178,0.00830841
22,-0.281291,-0.260652,2799,0.01067734
23,-0.260652,-0.240013,3640,0.01388550
24,-0.240013,-0.219374,4341,0.01655960
25,-0.219374,-0.198735,5011,0.01911545
26,-0.198735,-0.178096,6112,0.02331543
27,-0.178096,-0.157456,7263,0.02770615
28,-0.157456,-0.136817,8642,0.03296661
29,-0.136817,-0.116178,9770,0.03726959
30,-0.116178,-0.095539,11084,0.04228210
31,-0.095539,-0.074900,11973,0.04567337
32,-0.074900,-0.054261,12804,0.04884338
33,-0.054261,-0.033622,13919,0.05309677
34,-0.033622,-0.012983,14693,0.05604935
35,-0.012983,0.007656,15034,0.05735016
36,0.007656,0.028295,14755,0.05628586
37,0.028295,0.048934,14750,0.05626678
38,0.048934,0.069573,14407,0.05495834
39,0.069573,0.090212,13450,0.05130768
40,0.090212,0.110852,12227,0.04664230
41,0.110852,0.131491,10836,0.04133606
42,0.131491,0.152130,9309,0.03551102
43,0.152130,0.172769,7958,0.03035736
44,0.172769,0.193408,6641,0.02533340
45,0.193408,0.214047,5185,0.01977921
46,0.214047,0.234686,4129,0.01575089
47,0.234686,0.255325,3218,0.01227570
48,0.255325,0.275964,2444,0.00932312
49,0.275964,0.296603,1983,0.00756455
50,0.296603,0.317242,1504,0.00573731
51,0.317242,0.337881,1123,0.00428391
52,0.337881,0.358520,809,0.00308609
53,0.358520,0.379159,564,0.00215149
54,0.379159,0.399799,343,0.00130844
55,0.399799,0.420438,244,0.00093079
56,0.420438,0.441077,179,0.00068283
57,0.441077,0.461716,126,0.00048065
58,0.461716,0.482355,91,0.00034714
59,0.482355,0.502994,62,0.00023651
60,0.502994,0.523633,40,0.00015259
61,0.523633,0.544272,21,0.00008011
62,0.544272,0.564911,7,0.00002670
63,0.564911,0.585550,4,0.00001526
