Hybrid Ocean Spectrum Export
WindSpeed,10.000
RegionSize,100
N_omega,32
N_theta,8
Date,20251212_120058

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000035,0.000032,0.000004,0.000003,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000003,0.000003,0.000046,0.000032
omega2,0.000751,0.000622,0.000092,0.000062,0.000061,0.000049,0.000060,0.000044,0.000063,0.000044,0.000057,0.000049,0.000075,0.000062,0.000681,0.000622
omega3,0.003537,0.003550,0.000408,0.000380,0.000364,0.000302,0.000355,0.000277,0.000370,0.000277,0.000396,0.000302,0.000388,0.000380,0.003816,0.003550
omega4,0.009400,0.010009,0.001409,0.001172,0.001079,0.000957,0.001149,0.000887,0.001183,0.000887,0.001151,0.000957,0.001233,0.001172,0.011092,0.010009
omega5,0.019354,0.019471,0.003069,0.002585,0.002631,0.002191,0.002615,0.002059,0.002529,0.002059,0.002359,0.002191,0.002248,0.002585,0.020698,0.019471
omega6,0.042207,0.037330,0.006389,0.005866,0.006016,0.005225,0.006127,0.005006,0.005815,0.005006,0.006016,0.005225,0.005659,0.005866,0.036012,0.037330
omega7,0.069894,0.069276,0.012850,0.013592,0.013352,0.012929,0.015744,0.012704,0.015038,0.012704,0.014893,0.012929,0.012310,0.013592,0.074847,0.069276
omega8,0.062823,0.066808,0.013004,0.014013,0.013877,0.013595,0.016239,0.013461,0.016322,0.013461,0.014634,0.013595,0.014217,0.014013,0.062823,0.066808
omega9,0.034655,0.039599,0.007266,0.007394,0.006947,0.006931,0.008046,0.006772,0.007615,0.006772,0.007726,0.006931,0.007230,0.007394,0.034461,0.039599
omega10,0.020538,0.022137,0.003487,0.003758,0.003594,0.003425,0.003888,0.003311,0.003732,0.003311,0.003674,0.003425,0.003796,0.003758,0.020538,0.022137
omega11,0.013027,0.014937,0.002379,0.002344,0.002138,0.002087,0.002340,0.001999,0.002352,0.001999,0.002250,0.002087,0.002253,0.002344,0.014448,0.014937
omega12,0.010069,0.011407,0.001541,0.001676,0.001588,0.001464,0.001629,0.001391,0.001629,0.001391,0.001520,0.001464,0.001680,0.001676,0.010573,0.011407
omega13,0.008044,0.008967,0.001164,0.001247,0.001059,0.001071,0.001161,0.001012,0.001185,0.001012,0.001124,0.001071,0.001174,0.001247,0.008044,0.008967
omega14,0.006155,0.007036,0.000868,0.000933,0.000806,0.000790,0.000852,0.000743,0.000844,0.000743,0.000789,0.000790,0.000871,0.000933,0.005866,0.007036
omega15,0.004893,0.005498,0.000636,0.000700,0.000583,0.000586,0.000631,0.000548,0.000632,0.000548,0.000598,0.000586,0.000650,0.000700,0.004844,0.005498
omega16,0.003624,0.004289,0.000468,0.000528,0.000468,0.000437,0.000461,0.000407,0.000468,0.000407,0.000458,0.000437,0.000494,0.000528,0.003854,0.004289
omega17,0.002945,0.003348,0.000362,0.000400,0.000333,0.000328,0.000339,0.000305,0.000339,0.000305,0.000329,0.000328,0.000368,0.000400,0.002905,0.003348
omega18,0.002195,0.002620,0.000293,0.000305,0.000252,0.000248,0.000259,0.000230,0.000264,0.000230,0.000244,0.000248,0.000278,0.000305,0.002288,0.002620
omega19,0.001814,0.002057,0.000220,0.000234,0.000193,0.000189,0.000194,0.000175,0.000197,0.000175,0.000193,0.000189,0.000219,0.000234,0.001819,0.002057
omega20,0.001389,0.001622,0.000165,0.000181,0.000146,0.000145,0.000151,0.000134,0.000151,0.000134,0.000143,0.000145,0.000164,0.000181,0.001362,0.001622
omega21,0.001098,0.001285,0.000125,0.000141,0.000114,0.000112,0.000114,0.000103,0.000115,0.000103,0.000110,0.000112,0.000131,0.000141,0.001062,0.001285
omega22,0.000859,0.001023,0.000098,0.000110,0.000087,0.000088,0.000089,0.000080,0.000090,0.000080,0.000087,0.000088,0.000097,0.000110,0.000872,0.001023
omega23,0.000673,0.000819,0.000080,0.000087,0.000068,0.000069,0.000070,0.000063,0.000070,0.000063,0.000068,0.000069,0.000077,0.000087,0.000694,0.000819
omega24,0.000549,0.000659,0.000062,0.000069,0.000053,0.000055,0.000055,0.000050,0.000056,0.000050,0.000054,0.000055,0.000062,0.000069,0.000567,0.000659
omega25,0.000448,0.000533,0.000050,0.000055,0.000043,0.000043,0.000044,0.000040,0.000044,0.000040,0.000042,0.000043,0.000051,0.000055,0.000452,0.000533
omega26,0.000362,0.000433,0.000039,0.000044,0.000034,0.000035,0.000035,0.000032,0.000035,0.000032,0.000034,0.000035,0.000040,0.000044,0.000365,0.000433
omega27,0.000302,0.000354,0.000032,0.000036,0.000028,0.000028,0.000028,0.000026,0.000028,0.000026,0.000027,0.000028,0.000032,0.000036,0.000303,0.000354
omega28,0.000237,0.000291,0.000026,0.000029,0.000022,0.000023,0.000023,0.000021,0.000023,0.000021,0.000022,0.000023,0.000026,0.000029,0.000247,0.000291
omega29,0.000203,0.000240,0.000022,0.000024,0.000018,0.000019,0.000019,0.000017,0.000019,0.000017,0.000018,0.000019,0.000021,0.000024,0.000196,0.000240
omega30,0.000166,0.000199,0.000017,0.000020,0.000015,0.000015,0.000015,0.000014,0.000015,0.000014,0.000015,0.000015,0.000018,0.000020,0.000166,0.000199
omega31,0.000140,0.000166,0.000015,0.000016,0.000012,0.000013,0.000013,0.000012,0.000013,0.000012,0.000013,0.000013,0.000015,0.000016,0.000137,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.322387,0.336619
1,0.056638,0.058005
2,0.055987,0.053452
3,0.062749,0.051924
4,0.061239,0.051924
5,0.059046,0.053452
6,0.055879,0.058005
7,0.326075,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000100,0.000080
2,0.001840,0.001555
3,0.009634,0.009016
4,0.027695,0.026052
5,0.055504,0.052612
6,0.114242,0.106853
7,0.228926,0.217002
8,0.213938,0.215753
9,0.113946,0.121393
10,0.063247,0.065262
11,0.041187,0.042736
12,0.030230,0.031876
13,0.022955,0.024592
14,0.017052,0.019004
15,0.013466,0.014665
16,0.010296,0.011322
17,0.007921,0.008763
18,0.006072,0.006806
19,0.004848,0.005310
20,0.003671,0.004164
21,0.002869,0.003283
22,0.002278,0.002603
23,0.001800,0.002075
24,0.001459,0.001665
25,0.001173,0.001343
26,0.000944,0.001089
27,0.000781,0.000888
28,0.000626,0.000728
29,0.000516,0.000600
30,0.000428,0.000497
31,0.000357,0.000414

End
