FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-1.082699
Max,0.851995
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-1.082699,-1.052469,1,0.00001526
1,-1.052469,-1.022240,0,0.00000000
2,-1.022240,-0.992010,0,0.00000000
3,-0.992010,-0.961781,1,0.00001526
4,-0.961781,-0.931551,0,0.00000000
5,-0.931551,-0.901321,1,0.00001526
6,-0.901321,-0.871092,2,0.00003052
7,-0.871092,-0.840862,3,0.00004578
8,-0.840862,-0.810633,3,0.00004578
9,-0.810633,-0.780403,4,0.00006104
10,-0.780403,-0.750173,10,0.00015259
11,-0.750173,-0.719944,10,0.00015259
12,-0.719944,-0.689714,23,0.00035095
13,-0.689714,-0.659485,32,0.00048828
14,-0.659485,-0.629255,53,0.00080872
15,-0.629255,-0.599026,70,0.00106812
16,-0.599026,-0.568796,101,0.00154114
17,-0.568796,-0.538566,137,0.00209045
18,-0.538566,-0.508337,204,0.00311279
19,-0.508337,-0.478107,266,0.00405884
20,-0.478107,-0.447878,389,0.00593567
21,-0.447878,-0.417648,465,0.00709534
22,-0.417648,-0.387418,620,0.00946045
23,-0.387418,-0.357189,806,0.01229858
24,-0.357189,-0.326959,1033,0.01576233
25,-0.326959,-0.296730,1172,0.01788330
26,-0.296730,-0.266500,1531,0.02336121
27,-0.266500,-0.236271,1852,0.02825928
28,-0.236271,-0.206041,2122,0.03237915
29,-0.206041,-0.175811,2484,0.03790283
30,-0.175811,-0.145582,2822,0.04306030
31,-0.145582,-0.115352,3021,0.04609680
32,-0.115352,-0.085123,3289,0.05018616
33,-0.085123,-0.054893,3455,0.05271912
34,-0.054893,-0.024663,3572,0.05450439
35,-0.024663,0.005566,3759,0.05735779
36,0.005566,0.035796,3721,0.05677795
37,0.035796,0.066025,3524,0.05377197
38,0.066025,0.096255,3502,0.05343628
39,0.096255,0.126485,3216,0.04907227
40,0.126485,0.156714,2964,0.04522705
41,0.156714,0.186944,2772,0.04229736
42,0.186944,0.217173,2386,0.03640747
43,0.217173,0.247403,2009,0.03065491
44,0.247403,0.277632,1779,0.02714539
45,0.277632,0.307862,1511,0.02305603
46,0.307862,0.338092,1201,0.01832581
47,0.338092,0.368321,908,0.01385498
48,0.368321,0.398551,743,0.01133728
49,0.398551,0.428780,558,0.00851440
50,0.428780,0.459010,406,0.00619507
51,0.459010,0.489240,342,0.00521851
52,0.489240,0.519469,220,0.00335693
53,0.519469,0.549699,136,0.00207520
54,0.549699,0.579928,111,0.00169373
55,0.579928,0.610158,69,0.00105286
56,0.610158,0.640387,56,0.00085449
57,0.640387,0.670617,37,0.00056458
58,0.670617,0.700847,20,0.00030518
59,0.700847,0.731076,10,0.00015259
60,0.731076,0.761306,6,0.00009155
61,0.761306,0.791535,7,0.00010681
62,0.791535,0.821765,3,0.00004578
63,0.821765,0.851995,6,0.00009155

End
