Hybrid Ocean Spectrum Export
WindSpeed,5.000
RegionSize,100
N_omega,16
N_theta,8
Date,20251212_124213

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000008,0.000007,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000007,0.000007
omega1,0.003795,0.003395,0.000359,0.000350,0.000360,0.000276,0.000335,0.000252,0.000348,0.000252,0.000327,0.000276,0.000392,0.000350,0.003660,0.003395
omega2,0.030489,0.029207,0.003883,0.003625,0.003431,0.003011,0.003678,0.002808,0.003601,0.002808,0.003656,0.003011,0.003982,0.003625,0.027898,0.029207
omega3,0.110236,0.108482,0.020596,0.018908,0.019986,0.017366,0.020865,0.016835,0.021449,0.016835,0.020053,0.017366,0.019286,0.018908,0.100632,0.108482
omega4,0.102267,0.109038,0.022036,0.021515,0.021904,0.020499,0.024595,0.020156,0.024689,0.020156,0.022765,0.020499,0.021936,0.021515,0.101250,0.109038
omega5,0.033126,0.036258,0.005777,0.005908,0.005679,0.005319,0.006220,0.005117,0.006052,0.005117,0.005822,0.005319,0.005662,0.005908,0.032909,0.036259
omega6,0.018933,0.020628,0.002791,0.002945,0.002749,0.002550,0.002915,0.002416,0.002905,0.002416,0.002757,0.002550,0.002797,0.002945,0.018416,0.020629
omega7,0.011087,0.012696,0.001569,0.001649,0.001439,0.001388,0.001557,0.001301,0.001559,0.001301,0.001465,0.001388,0.001591,0.001649,0.011370,0.012696
omega8,0.006970,0.007732,0.000896,0.000937,0.000819,0.000772,0.000839,0.000718,0.000848,0.000718,0.000815,0.000772,0.000911,0.000937,0.006897,0.007732
omega9,0.004129,0.004736,0.000527,0.000544,0.000454,0.000442,0.000480,0.000408,0.000477,0.000408,0.000455,0.000442,0.000519,0.000544,0.004131,0.004736
omega10,0.002574,0.002944,0.000311,0.000325,0.000273,0.000261,0.000280,0.000240,0.000277,0.000240,0.000273,0.000261,0.000310,0.000325,0.002627,0.002944
omega11,0.001633,0.001867,0.000189,0.000200,0.000164,0.000159,0.000169,0.000145,0.000169,0.000145,0.000164,0.000159,0.000189,0.000200,0.001666,0.001867
omega12,0.001071,0.001208,0.000117,0.000126,0.000102,0.000099,0.000106,0.000091,0.000104,0.000091,0.000101,0.000099,0.000118,0.000126,0.001056,0.001208
omega13,0.000701,0.000799,0.000075,0.000082,0.000066,0.000064,0.000068,0.000058,0.000067,0.000058,0.000067,0.000064,0.000076,0.000082,0.000708,0.000799
omega14,0.000466,0.000539,0.000051,0.000054,0.000043,0.000042,0.000044,0.000038,0.000044,0.000038,0.000043,0.000042,0.000050,0.000054,0.000477,0.000539
omega15,0.000327,0.000371,0.000034,0.000037,0.000029,0.000029,0.000030,0.000026,0.000030,0.000026,0.000029,0.000029,0.000034,0.000037,0.000328,0.000371

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.327811,0.339909
1,0.059212,0.057204
2,0.057497,0.052276
3,0.062180,0.050610
4,0.062620,0.050610
5,0.058793,0.052276
6,0.057855,0.057204
7,0.314032,0.339910

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000020,0.000018
1,0.009576,0.008546
2,0.080617,0.077301
3,0.333103,0.323180
4,0.341441,0.342415
5,0.101247,0.105204
6,0.054263,0.057078
7,0.031637,0.034070
8,0.018995,0.020319
9,0.011173,0.012261
10,0.006925,0.007540
11,0.004342,0.004740
12,0.002775,0.003049
13,0.001827,0.002006
14,0.001218,0.001349
15,0.000841,0.000926

End
