FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-0.946169
Max,0.868191
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-0.946169,-0.917820,1,0.00001526
1,-0.917820,-0.889470,0,0.00000000
2,-0.889470,-0.861121,1,0.00001526
3,-0.861121,-0.832771,0,0.00000000
4,-0.832771,-0.804422,2,0.00003052
5,-0.804422,-0.776073,7,0.00010681
6,-0.776073,-0.747723,5,0.00007629
7,-0.747723,-0.719374,9,0.00013733
8,-0.719374,-0.691025,13,0.00019836
9,-0.691025,-0.662675,19,0.00028992
10,-0.662675,-0.634326,35,0.00053406
11,-0.634326,-0.605977,54,0.00082397
12,-0.605977,-0.577627,86,0.00131226
13,-0.577627,-0.549278,115,0.00175476
14,-0.549278,-0.520928,145,0.00221252
15,-0.520928,-0.492579,203,0.00309753
16,-0.492579,-0.464230,263,0.00401306
17,-0.464230,-0.435880,402,0.00613403
18,-0.435880,-0.407531,487,0.00743103
19,-0.407531,-0.379182,630,0.00961304
20,-0.379182,-0.350832,804,0.01226807
21,-0.350832,-0.322483,995,0.01518250
22,-0.322483,-0.294133,1219,0.01860046
23,-0.294133,-0.265784,1502,0.02291870
24,-0.265784,-0.237435,1834,0.02798462
25,-0.237435,-0.209085,2005,0.03059387
26,-0.209085,-0.180736,2325,0.03547668
27,-0.180736,-0.152387,2507,0.03825378
28,-0.152387,-0.124037,2834,0.04324341
29,-0.124037,-0.095688,3081,0.04701233
30,-0.095688,-0.067339,3173,0.04841614
31,-0.067339,-0.038989,3401,0.05189514
32,-0.038989,-0.010640,3502,0.05343628
33,-0.010640,0.017710,3377,0.05152893
34,0.017710,0.046059,3303,0.05039978
35,0.046059,0.074408,3300,0.05035400
36,0.074408,0.102758,3127,0.04771423
37,0.102758,0.131107,3055,0.04661560
38,0.131107,0.159456,2688,0.04101563
39,0.159456,0.187806,2477,0.03779602
40,0.187806,0.216155,2140,0.03265381
41,0.216155,0.244505,1995,0.03044128
42,0.244505,0.272854,1747,0.02665710
43,0.272854,0.301203,1426,0.02175903
44,0.301203,0.329553,1185,0.01808167
45,0.329553,0.357902,926,0.01412964
46,0.357902,0.386251,799,0.01219177
47,0.386251,0.414601,598,0.00912476
48,0.414601,0.442950,443,0.00675964
49,0.442950,0.471300,377,0.00575256
50,0.471300,0.499649,282,0.00430298
51,0.499649,0.527998,189,0.00288391
52,0.527998,0.556348,138,0.00210571
53,0.556348,0.584697,99,0.00151062
54,0.584697,0.613046,62,0.00094604
55,0.613046,0.641396,42,0.00064087
56,0.641396,0.669745,37,0.00056458
57,0.669745,0.698094,29,0.00044250
58,0.698094,0.726444,11,0.00016785
59,0.726444,0.754793,8,0.00012207
60,0.754793,0.783143,9,0.00013733
61,0.783143,0.811492,5,0.00007629
62,0.811492,0.839841,1,0.00001526
63,0.839841,0.868191,2,0.00003052

End
