FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-2.376890
Max,2.125389
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-2.376890,-2.306542,1,0.00001526
1,-2.306542,-2.236194,0,0.00000000
2,-2.236194,-2.165846,1,0.00001526
3,-2.165846,-2.095498,2,0.00003052
4,-2.095498,-2.025150,5,0.00007629
5,-2.025150,-1.954802,4,0.00006104
6,-1.954802,-1.884453,13,0.00019836
7,-1.884453,-1.814105,17,0.00025940
8,-1.814105,-1.743757,34,0.00051880
9,-1.743757,-1.673409,39,0.00059509
10,-1.673409,-1.603061,64,0.00097656
11,-1.603061,-1.532713,81,0.00123596
12,-1.532713,-1.462365,114,0.00173950
13,-1.462365,-1.392017,138,0.00210571
14,-1.392017,-1.321669,191,0.00291443
15,-1.321669,-1.251320,257,0.00392151
16,-1.251320,-1.180972,364,0.00555420
17,-1.180972,-1.110624,457,0.00697327
18,-1.110624,-1.040276,585,0.00892639
19,-1.040276,-0.969928,703,0.01072693
20,-0.969928,-0.899580,930,0.01419067
21,-0.899580,-0.829232,1066,0.01626587
22,-0.829232,-0.758884,1325,0.02021790
23,-0.758884,-0.688536,1429,0.02180481
24,-0.688536,-0.618187,1727,0.02635193
25,-0.618187,-0.547839,1994,0.03042603
26,-0.547839,-0.477491,2073,0.03163147
27,-0.477491,-0.407143,2365,0.03608704
28,-0.407143,-0.336795,2536,0.03869629
29,-0.336795,-0.266447,2734,0.04171753
30,-0.266447,-0.196099,2798,0.04269409
31,-0.196099,-0.125751,3049,0.04652405
32,-0.125751,-0.055402,2991,0.04563904
33,-0.055402,0.014946,3196,0.04876709
34,0.014946,0.085294,3123,0.04765320
35,0.085294,0.155642,3089,0.04713440
36,0.155642,0.225990,2981,0.04548645
37,0.225990,0.296338,2797,0.04267883
38,0.296338,0.366686,2716,0.04144287
39,0.366686,0.437034,2533,0.03865051
40,0.437034,0.507383,2324,0.03546143
41,0.507383,0.577731,2225,0.03395081
42,0.577731,0.648079,1836,0.02801514
43,0.648079,0.718427,1645,0.02510071
44,0.718427,0.788775,1461,0.02229309
45,0.788775,0.859123,1181,0.01802063
46,0.859123,0.929471,954,0.01455688
47,0.929471,0.999819,783,0.01194763
48,0.999819,1.070167,625,0.00953674
49,1.070167,1.140516,494,0.00753784
50,1.140516,1.210864,347,0.00529480
51,1.210864,1.281212,252,0.00384522
52,1.281212,1.351560,223,0.00340271
53,1.351560,1.421908,171,0.00260925
54,1.421908,1.492256,150,0.00228882
55,1.492256,1.562604,99,0.00151062
56,1.562604,1.632952,84,0.00128174
57,1.632952,1.703300,68,0.00103760
58,1.703300,1.773649,39,0.00059509
59,1.773649,1.843997,25,0.00038147
60,1.843997,1.914345,14,0.00021362
61,1.914345,1.984693,8,0.00012207
62,1.984693,2.055041,2,0.00003052
63,2.055041,2.125389,4,0.00006104

End
