Hybrid Ocean Spectrum Export
WindSpeed,10.000
RegionSize,100
N_omega,32
N_theta,8
Date,20251205_130206

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000045,0.000032,0.000004,0.000003,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000003,0.000002,0.000004,0.000003,0.000036,0.000032
omega2,0.000630,0.000622,0.000073,0.000062,0.000060,0.000049,0.000058,0.000044,0.000060,0.000044,0.000058,0.000049,0.000077,0.000062,0.000584,0.000622
omega3,0.003980,0.003550,0.000435,0.000380,0.000385,0.000302,0.000368,0.000277,0.000368,0.000277,0.000323,0.000302,0.000426,0.000380,0.004165,0.003550
omega4,0.009908,0.010009,0.001445,0.001172,0.001162,0.000957,0.001159,0.000887,0.001110,0.000887,0.001073,0.000957,0.001139,0.001172,0.011964,0.010009
omega5,0.015771,0.019471,0.002591,0.002585,0.002376,0.002191,0.002628,0.002059,0.002487,0.002059,0.002466,0.002191,0.003052,0.002585,0.020315,0.019471
omega6,0.031575,0.037330,0.005809,0.005866,0.005875,0.005225,0.006248,0.005006,0.006196,0.005006,0.005928,0.005225,0.006656,0.005866,0.037351,0.037330
omega7,0.063482,0.069276,0.013851,0.013592,0.014401,0.012929,0.015556,0.012704,0.015355,0.012704,0.014401,0.012929,0.013422,0.013592,0.065124,0.069276
omega8,0.062882,0.066808,0.014569,0.014013,0.014385,0.013595,0.016148,0.013461,0.015899,0.013461,0.014468,0.013595,0.013362,0.014013,0.066992,0.066808
omega9,0.037156,0.039599,0.007082,0.007394,0.007683,0.006931,0.008198,0.006772,0.007968,0.006772,0.007380,0.006931,0.006866,0.007394,0.037926,0.039599
omega10,0.021629,0.022137,0.003731,0.003758,0.003520,0.003425,0.003931,0.003311,0.003853,0.003311,0.003520,0.003425,0.003526,0.003758,0.020509,0.022137
omega11,0.014885,0.014937,0.002233,0.002344,0.002264,0.002087,0.002402,0.001999,0.002333,0.001999,0.002212,0.002087,0.002321,0.002344,0.013802,0.014937
omega12,0.011073,0.011407,0.001735,0.001676,0.001530,0.001464,0.001631,0.001391,0.001599,0.001391,0.001606,0.001464,0.001727,0.001676,0.011515,0.011407
omega13,0.008534,0.008967,0.001213,0.001247,0.001124,0.001071,0.001207,0.001012,0.001189,0.001012,0.001163,0.001071,0.001157,0.001247,0.008688,0.008967
omega14,0.006396,0.007036,0.000890,0.000933,0.000872,0.000790,0.000851,0.000743,0.000863,0.000743,0.000811,0.000790,0.000886,0.000933,0.006860,0.007036
omega15,0.005121,0.005498,0.000693,0.000700,0.000592,0.000586,0.000625,0.000548,0.000642,0.000548,0.000618,0.000586,0.000693,0.000700,0.005581,0.005498
omega16,0.004006,0.004289,0.000513,0.000528,0.000451,0.000437,0.000469,0.000407,0.000475,0.000407,0.000461,0.000437,0.000537,0.000528,0.004277,0.004289
omega17,0.003134,0.003348,0.000392,0.000400,0.000347,0.000328,0.000344,0.000305,0.000347,0.000305,0.000359,0.000328,0.000392,0.000400,0.003048,0.003348
omega18,0.002575,0.002620,0.000311,0.000305,0.000266,0.000248,0.000267,0.000230,0.000266,0.000230,0.000266,0.000248,0.000296,0.000305,0.002517,0.002620
omega19,0.001996,0.002057,0.000240,0.000234,0.000197,0.000189,0.000197,0.000175,0.000202,0.000175,0.000197,0.000189,0.000227,0.000234,0.001973,0.002057
omega20,0.001574,0.001622,0.000183,0.000181,0.000157,0.000145,0.000153,0.000134,0.000152,0.000134,0.000155,0.000145,0.000173,0.000181,0.001593,0.001622
omega21,0.001208,0.001285,0.000142,0.000141,0.000119,0.000112,0.000118,0.000103,0.000118,0.000103,0.000122,0.000112,0.000141,0.000141,0.001256,0.001285
omega22,0.000969,0.001023,0.000109,0.000110,0.000096,0.000088,0.000088,0.000080,0.000093,0.000080,0.000094,0.000088,0.000112,0.000110,0.000976,0.001023
omega23,0.000786,0.000819,0.000088,0.000087,0.000075,0.000069,0.000070,0.000063,0.000072,0.000063,0.000071,0.000069,0.000089,0.000087,0.000804,0.000819
omega24,0.000618,0.000659,0.000069,0.000069,0.000059,0.000055,0.000056,0.000050,0.000055,0.000050,0.000058,0.000055,0.000069,0.000069,0.000634,0.000659
omega25,0.000517,0.000533,0.000056,0.000055,0.000046,0.000043,0.000046,0.000040,0.000046,0.000040,0.000046,0.000043,0.000056,0.000055,0.000510,0.000533
omega26,0.000438,0.000433,0.000045,0.000044,0.000038,0.000035,0.000036,0.000032,0.000036,0.000032,0.000037,0.000035,0.000045,0.000044,0.000420,0.000433
omega27,0.000346,0.000354,0.000037,0.000036,0.000030,0.000028,0.000029,0.000026,0.000028,0.000026,0.000029,0.000028,0.000037,0.000036,0.000346,0.000354
omega28,0.000286,0.000291,0.000030,0.000029,0.000024,0.000023,0.000024,0.000021,0.000024,0.000021,0.000025,0.000023,0.000030,0.000029,0.000286,0.000291
omega29,0.000239,0.000240,0.000024,0.000024,0.000020,0.000019,0.000019,0.000017,0.000019,0.000017,0.000020,0.000019,0.000025,0.000024,0.000235,0.000240
omega30,0.000191,0.000199,0.000020,0.000020,0.000016,0.000015,0.000016,0.000014,0.000016,0.000014,0.000017,0.000015,0.000020,0.000020,0.000196,0.000199
omega31,0.000164,0.000166,0.000017,0.000016,0.000014,0.000013,0.000013,0.000012,0.000013,0.000012,0.000014,0.000013,0.000017,0.000016,0.000165,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.312115,0.336619
1,0.058628,0.058005
2,0.058187,0.053452
3,0.062960,0.051924
4,0.061885,0.051924
5,0.058000,0.053452
6,0.057579,0.058005
7,0.330646,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000102,0.000080
2,0.001600,0.001555
3,0.010449,0.009016
4,0.028960,0.026052
5,0.051685,0.052612
6,0.105636,0.106853
7,0.215592,0.217002
8,0.218704,0.215753
9,0.120259,0.121393
10,0.064219,0.065262
11,0.042452,0.042736
12,0.032416,0.031876
13,0.024276,0.024592
14,0.018429,0.019004
15,0.014565,0.014665
16,0.011189,0.011322
17,0.008364,0.008763
18,0.006765,0.006806
19,0.005230,0.005310
20,0.004140,0.004164
21,0.003223,0.003283
22,0.002536,0.002603
23,0.002055,0.002075
24,0.001618,0.001665
25,0.001321,0.001343
26,0.001094,0.001089
27,0.000883,0.000888
28,0.000728,0.000728
29,0.000601,0.000600
30,0.000492,0.000497
31,0.000416,0.000414

End
