FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-1.755747
Max,1.609490
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-1.755747,-1.703165,4,0.00006104
1,-1.703165,-1.650583,3,0.00004578
2,-1.650583,-1.598001,0,0.00000000
3,-1.598001,-1.545420,0,0.00000000
4,-1.545420,-1.492838,2,0.00003052
5,-1.492838,-1.440256,3,0.00004578
6,-1.440256,-1.387674,3,0.00004578
7,-1.387674,-1.335092,11,0.00016785
8,-1.335092,-1.282510,12,0.00018311
9,-1.282510,-1.229929,26,0.00039673
10,-1.229929,-1.177347,39,0.00059509
11,-1.177347,-1.124765,54,0.00082397
12,-1.124765,-1.072183,92,0.00140381
13,-1.072183,-1.019601,120,0.00183106
14,-1.019601,-0.967019,162,0.00247192
15,-0.967019,-0.914438,215,0.00328064
16,-0.914438,-0.861856,285,0.00434876
17,-0.861856,-0.809274,402,0.00613403
18,-0.809274,-0.756692,513,0.00782776
19,-0.756692,-0.704110,667,0.01017761
20,-0.704110,-0.651529,835,0.01274109
21,-0.651529,-0.598947,950,0.01449585
22,-0.598947,-0.546365,1205,0.01838684
23,-0.546365,-0.493783,1524,0.02325439
24,-0.493783,-0.441201,1821,0.02778625
25,-0.441201,-0.388619,2011,0.03068542
26,-0.388619,-0.336038,2239,0.03416443
27,-0.336038,-0.283456,2618,0.03994751
28,-0.283456,-0.230874,2840,0.04333496
29,-0.230874,-0.178292,3001,0.04579163
30,-0.178292,-0.125710,3166,0.04830933
31,-0.125710,-0.073128,3265,0.04981995
32,-0.073128,-0.020547,3357,0.05122375
33,-0.020547,0.032035,3449,0.05262756
34,0.032035,0.084617,3375,0.05149841
35,0.084617,0.137199,3210,0.04898071
36,0.137199,0.189781,3069,0.04682922
37,0.189781,0.242363,3023,0.04612732
38,0.242363,0.294945,2750,0.04196167
39,0.294945,0.347526,2518,0.03842163
40,0.347526,0.400108,2265,0.03456116
41,0.400108,0.452690,1923,0.02934265
42,0.452690,0.505272,1599,0.02439880
43,0.505272,0.557854,1453,0.02217102
44,0.557854,0.610435,1212,0.01849365
45,0.610435,0.663017,984,0.01501465
46,0.663017,0.715599,789,0.01203918
47,0.715599,0.768181,657,0.01002502
48,0.768181,0.820763,470,0.00717163
49,0.820763,0.873345,368,0.00561523
50,0.873345,0.925926,278,0.00424194
51,0.925926,0.978508,234,0.00357056
52,0.978508,1.031090,151,0.00230408
53,1.031090,1.083672,115,0.00175476
54,1.083672,1.136254,81,0.00123596
55,1.136254,1.188836,44,0.00067139
56,1.188836,1.241417,31,0.00047302
57,1.241417,1.293999,18,0.00027466
58,1.293999,1.346581,14,0.00021362
59,1.346581,1.399163,5,0.00007629
60,1.399163,1.451745,4,0.00006104
61,1.451745,1.504326,1,0.00001526
62,1.504326,1.556908,0,0.00000000
63,1.556908,1.609490,1,0.00001526

End
