FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-1.294334
Max,1.184166
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-1.294334,-1.255608,1,0.00001526
1,-1.255608,-1.216881,0,0.00000000
2,-1.216881,-1.178154,0,0.00000000
3,-1.178154,-1.139428,1,0.00001526
4,-1.139428,-1.100701,2,0.00003052
5,-1.100701,-1.061975,2,0.00003052
6,-1.061975,-1.023248,5,0.00007629
7,-1.023248,-0.984522,6,0.00009155
8,-0.984522,-0.945795,15,0.00022888
9,-0.945795,-0.907069,23,0.00035095
10,-0.907069,-0.868342,40,0.00061035
11,-0.868342,-0.829615,50,0.00076294
12,-0.829615,-0.790889,76,0.00115967
13,-0.790889,-0.752162,120,0.00183106
14,-0.752162,-0.713436,152,0.00231934
15,-0.713436,-0.674709,228,0.00347900
16,-0.674709,-0.635983,318,0.00485230
17,-0.635983,-0.597256,391,0.00596619
18,-0.597256,-0.558529,538,0.00820923
19,-0.558529,-0.519803,695,0.01060486
20,-0.519803,-0.481076,808,0.01232910
21,-0.481076,-0.442350,1077,0.01643372
22,-0.442350,-0.403623,1238,0.01889038
23,-0.403623,-0.364897,1469,0.02241516
24,-0.364897,-0.326170,1698,0.02590942
25,-0.326170,-0.287444,2047,0.03123474
26,-0.287444,-0.248717,2266,0.03457642
27,-0.248717,-0.209990,2494,0.03805542
28,-0.209990,-0.171264,2717,0.04145813
29,-0.171264,-0.132537,2989,0.04560852
30,-0.132537,-0.093811,3144,0.04797363
31,-0.093811,-0.055084,3254,0.04965210
32,-0.055084,-0.016358,3381,0.05158997
33,-0.016358,0.022369,3347,0.05107117
34,0.022369,0.061096,3428,0.05230713
35,0.061096,0.099822,3267,0.04985046
36,0.099822,0.138549,3131,0.04777527
37,0.138549,0.177275,2980,0.04547119
38,0.177275,0.216002,2710,0.04135132
39,0.216002,0.254728,2538,0.03872681
40,0.254728,0.293455,2302,0.03512573
41,0.293455,0.332182,1982,0.03024292
42,0.332182,0.370908,1768,0.02697754
43,0.370908,0.409635,1366,0.02084351
44,0.409635,0.448361,1229,0.01875305
45,0.448361,0.487088,1020,0.01556396
46,0.487088,0.525814,819,0.01249695
47,0.525814,0.564541,610,0.00930786
48,0.564541,0.603268,451,0.00688171
49,0.603268,0.641994,383,0.00584412
50,0.641994,0.680721,290,0.00442505
51,0.680721,0.719447,193,0.00294495
52,0.719447,0.758174,133,0.00202942
53,0.758174,0.796900,103,0.00157166
54,0.796900,0.835627,67,0.00102234
55,0.835627,0.874353,68,0.00103760
56,0.874353,0.913080,41,0.00062561
57,0.913080,0.951807,25,0.00038147
58,0.951807,0.990533,14,0.00021362
59,0.990533,1.029260,13,0.00019836
60,1.029260,1.067986,3,0.00004578
61,1.067986,1.106713,4,0.00006104
62,1.106713,1.145439,4,0.00006104
63,1.145439,1.184166,2,0.00003052

End
