FFT Height Histogram Export
OceanLength,500.000
GridLength,500
Bins,64
Min,-1.201852
Max,1.392073
TotalPixels,65536

binIndex,hMin,hMax,count,probability
0,-1.201852,-1.161322,1,0.00001526
1,-1.161322,-1.120792,2,0.00003052
2,-1.120792,-1.080262,3,0.00004578
3,-1.080262,-1.039732,12,0.00018311
4,-1.039732,-0.999202,13,0.00019836
5,-0.999202,-0.958672,15,0.00022888
6,-0.958672,-0.918142,22,0.00033569
7,-0.918142,-0.877611,29,0.00044250
8,-0.877611,-0.837081,45,0.00068665
9,-0.837081,-0.796551,77,0.00117493
10,-0.796551,-0.756021,129,0.00196838
11,-0.756021,-0.715491,179,0.00273132
12,-0.715491,-0.674961,220,0.00335693
13,-0.674961,-0.634431,285,0.00434876
14,-0.634431,-0.593901,434,0.00662231
15,-0.593901,-0.553371,550,0.00839233
16,-0.553371,-0.512841,726,0.01107788
17,-0.512841,-0.472311,887,0.01353455
18,-0.472311,-0.431781,1136,0.01733398
19,-0.431781,-0.391250,1380,0.02105713
20,-0.391250,-0.350720,1644,0.02508545
21,-0.350720,-0.310190,1874,0.02859497
22,-0.310190,-0.269660,2199,0.03355408
23,-0.269660,-0.229130,2554,0.03897095
24,-0.229130,-0.188600,2790,0.04257202
25,-0.188600,-0.148070,3019,0.04606628
26,-0.148070,-0.107540,3135,0.04783630
27,-0.107540,-0.067010,3491,0.05326843
28,-0.067010,-0.026480,3589,0.05476379
29,-0.026480,0.014050,3551,0.05418396
30,0.014050,0.054581,3476,0.05303955
31,0.054581,0.095111,3449,0.05262756
32,0.095111,0.135641,3460,0.05279541
33,0.135641,0.176171,3118,0.04757690
34,0.176171,0.216701,2916,0.04449463
35,0.216701,0.257231,2577,0.03932190
36,0.257231,0.297761,2306,0.03518677
37,0.297761,0.338291,2042,0.03115845
38,0.338291,0.378821,1728,0.02636719
39,0.378821,0.419351,1445,0.02204895
40,0.419351,0.459881,1130,0.01724243
41,0.459881,0.500412,914,0.01394653
42,0.500412,0.540942,747,0.01139832
43,0.540942,0.581472,578,0.00881958
44,0.581472,0.622002,427,0.00651550
45,0.622002,0.662532,356,0.00543213
46,0.662532,0.703062,258,0.00393677
47,0.703062,0.743592,183,0.00279236
48,0.743592,0.784122,124,0.00189209
49,0.784122,0.824652,106,0.00161743
50,0.824652,0.865182,61,0.00093079
51,0.865182,0.905712,41,0.00062561
52,0.905712,0.946243,37,0.00056458
53,0.946243,0.986773,22,0.00033569
54,0.986773,1.027303,21,0.00032043
55,1.027303,1.067833,8,0.00012207
56,1.067833,1.108363,5,0.00007629
57,1.108363,1.148893,2,0.00003052
58,1.148893,1.189423,2,0.00003052
59,1.189423,1.229953,2,0.00003052
60,1.229953,1.270483,1,0.00001526
61,1.270483,1.311013,0,0.00000000
62,1.311013,1.351543,2,0.00003052
63,1.351543,1.392073,1,0.00001526

End
