Height Histogram Export
Region,0
Bins,64
Min,-1.964893
Max,1.704089
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-1.964893,-1.907566,51,0.00019455
1,-1.907566,-1.850238,44,0.00016785
2,-1.850238,-1.792910,34,0.00012970
3,-1.792910,-1.735582,37,0.00014114
4,-1.735582,-1.678254,32,0.00012207
5,-1.678254,-1.620926,38,0.00014496
6,-1.620926,-1.563599,47,0.00017929
7,-1.563599,-1.506271,48,0.00018311
8,-1.506271,-1.448943,57,0.00021744
9,-1.448943,-1.391615,102,0.00038910
10,-1.391615,-1.334287,134,0.00051117
11,-1.334287,-1.276959,332,0.00126648
12,-1.276959,-1.219631,527,0.00201035
13,-1.219631,-1.162304,726,0.00276947
14,-1.162304,-1.104976,925,0.00352860
15,-1.104976,-1.047648,1197,0.00456619
16,-1.047648,-0.990320,1484,0.00566101
17,-0.990320,-0.932992,2006,0.00765228
18,-0.932992,-0.875664,2206,0.00841522
19,-0.875664,-0.818336,2513,0.00958633
20,-0.818336,-0.761009,2733,0.01042557
21,-0.761009,-0.703681,3581,0.01366043
22,-0.703681,-0.646353,4702,0.01793671
23,-0.646353,-0.589025,5463,0.02083969
24,-0.589025,-0.531697,6193,0.02362442
25,-0.531697,-0.474369,7199,0.02746201
26,-0.474369,-0.417042,8033,0.03064346
27,-0.417042,-0.359714,9453,0.03606033
28,-0.359714,-0.302386,10458,0.03989410
29,-0.302386,-0.245058,11605,0.04426956
30,-0.245058,-0.187730,11655,0.04446030
31,-0.187730,-0.130402,12313,0.04697037
32,-0.130402,-0.073074,12919,0.04928207
33,-0.073074,-0.015747,12538,0.04782867
34,-0.015747,0.041581,12729,0.04855728
35,0.041581,0.098909,12463,0.04754257
36,0.098909,0.156237,12043,0.04594040
37,0.156237,0.213565,11127,0.04244614
38,0.213565,0.270893,9974,0.03804779
39,0.270893,0.328221,8974,0.03423309
40,0.328221,0.385549,8252,0.03147888
41,0.385549,0.442876,8053,0.03071976
42,0.442876,0.500204,7695,0.02935410
43,0.500204,0.557532,6870,0.02620697
44,0.557532,0.614860,5331,0.02033615
45,0.614860,0.672188,4708,0.01795959
46,0.672188,0.729516,4098,0.01563263
47,0.729516,0.786843,3516,0.01341248
48,0.786843,0.844171,3012,0.01148987
49,0.844171,0.901499,2255,0.00860214
50,0.901499,0.958827,2152,0.00820923
51,0.958827,1.016155,1613,0.00615311
52,1.016155,1.073483,1308,0.00498962
53,1.073483,1.130810,934,0.00356293
54,1.130810,1.188138,709,0.00270462
55,1.188138,1.245466,625,0.00238419
56,1.245466,1.302794,577,0.00220108
57,1.302794,1.360122,505,0.00192642
58,1.360122,1.417450,417,0.00159073
59,1.417450,1.474778,316,0.00120544
60,1.474778,1.532105,200,0.00076294
61,1.532105,1.589433,215,0.00082016
62,1.589433,1.646761,55,0.00020981
63,1.646761,1.704089,33,0.00012589
