Height Histogram Export
Region,0
Bins,64
Min,-1.070793
Max,0.9225138
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-1.070793,-1.039648,5,0.00001907
1,-1.039648,-1.008502,5,0.00001907
2,-1.008502,-0.977357,8,0.00003052
3,-0.977357,-0.946212,25,0.00009537
4,-0.946212,-0.915066,38,0.00014496
5,-0.915066,-0.883921,48,0.00018311
6,-0.883921,-0.852775,85,0.00032425
7,-0.852775,-0.821630,78,0.00029755
8,-0.821630,-0.790485,117,0.00044632
9,-0.790485,-0.759339,146,0.00055695
10,-0.759339,-0.728194,226,0.00086212
11,-0.728194,-0.697048,300,0.00114441
12,-0.697048,-0.665903,376,0.00143433
13,-0.665903,-0.634758,498,0.00189972
14,-0.634758,-0.603612,536,0.00204468
15,-0.603612,-0.572467,718,0.00273895
16,-0.572467,-0.541321,975,0.00371933
17,-0.541321,-0.510176,1249,0.00476456
18,-0.510176,-0.479030,1668,0.00636292
19,-0.479030,-0.447885,2198,0.00838471
20,-0.447885,-0.416740,2677,0.01021194
21,-0.416740,-0.385594,3314,0.01264191
22,-0.385594,-0.354449,3948,0.01506042
23,-0.354449,-0.323303,4710,0.01796722
24,-0.323303,-0.292158,5459,0.02082443
25,-0.292158,-0.261012,6474,0.02469635
26,-0.261012,-0.229867,7794,0.02973175
27,-0.229867,-0.198722,8815,0.03362656
28,-0.198722,-0.167576,9931,0.03788376
29,-0.167576,-0.136431,11217,0.04278946
30,-0.136431,-0.105285,12214,0.04659271
31,-0.105285,-0.074140,13125,0.05006790
32,-0.074140,-0.042994,13906,0.05304718
33,-0.042994,-0.011849,14725,0.05617142
34,-0.011849,0.019297,14561,0.05554581
35,0.019297,0.050442,14249,0.05435562
36,0.050442,0.081587,13846,0.05281830
37,0.081587,0.112733,12898,0.04920197
38,0.112733,0.143878,11463,0.04372787
39,0.143878,0.175024,10320,0.03936768
40,0.175024,0.206169,9393,0.03583145
41,0.206169,0.237315,8356,0.03187561
42,0.237315,0.268460,7226,0.02756500
43,0.268460,0.299605,6174,0.02355194
44,0.299605,0.330751,5234,0.01996613
45,0.330751,0.361896,4316,0.01646423
46,0.361896,0.393042,3732,0.01423645
47,0.393042,0.424187,3069,0.01170731
48,0.424187,0.455333,2331,0.00889206
49,0.455333,0.486478,1804,0.00688171
50,0.486478,0.517623,1342,0.00511932
51,0.517623,0.548769,1121,0.00427628
52,0.548769,0.579914,900,0.00343323
53,0.579914,0.611060,660,0.00251770
54,0.611060,0.642205,508,0.00193787
55,0.642205,0.673351,336,0.00128174
56,0.673351,0.704496,260,0.00099182
57,0.704496,0.735641,192,0.00073242
58,0.735641,0.766787,117,0.00044632
59,0.766787,0.797932,69,0.00026321
60,0.797932,0.829078,27,0.00010300
61,0.829078,0.860223,21,0.00008011
62,0.860223,0.891368,6,0.00002289
63,0.891368,0.922514,5,0.00001907
