Hybrid Ocean Spectrum Export
WindSpeed,7.071
RegionSize,100
N_omega,32
N_theta,8
Date,20251205_130653

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000039,0.000032,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000003,0.000003,0.000039,0.000032
omega2,0.000749,0.000622,0.000067,0.000062,0.000051,0.000049,0.000044,0.000044,0.000044,0.000044,0.000050,0.000049,0.000070,0.000062,0.000735,0.000622
omega3,0.004009,0.003550,0.000423,0.000380,0.000279,0.000302,0.000304,0.000277,0.000276,0.000277,0.000283,0.000302,0.000406,0.000380,0.004113,0.003550
omega4,0.011357,0.010010,0.001047,0.001172,0.000925,0.000957,0.000811,0.000887,0.000792,0.000887,0.000925,0.000957,0.001145,0.001172,0.011357,0.010010
omega5,0.021952,0.019472,0.002455,0.002585,0.001928,0.002191,0.001860,0.002059,0.001796,0.002059,0.001759,0.002191,0.002495,0.002585,0.021952,0.019472
omega6,0.041153,0.037331,0.005242,0.005866,0.004547,0.005225,0.004269,0.005006,0.004589,0.005006,0.004214,0.005225,0.005616,0.005866,0.040720,0.037331
omega7,0.074803,0.069277,0.011717,0.013593,0.009881,0.012929,0.011121,0.012704,0.009710,0.012704,0.009364,0.012929,0.012019,0.013593,0.075727,0.069277
omega8,0.072358,0.066808,0.012462,0.014013,0.011008,0.013594,0.011039,0.013461,0.010014,0.013461,0.011572,0.013594,0.012850,0.014013,0.072359,0.066808
omega9,0.042340,0.039598,0.006208,0.007394,0.005705,0.006931,0.005408,0.006772,0.005000,0.006772,0.006198,0.006931,0.006774,0.007394,0.042340,0.039598
omega10,0.023508,0.022136,0.003168,0.003758,0.002955,0.003425,0.002407,0.003311,0.002515,0.003311,0.002977,0.003425,0.003160,0.003758,0.023508,0.022136
omega11,0.015765,0.014937,0.001975,0.002344,0.001644,0.002087,0.001504,0.001999,0.001589,0.001999,0.001733,0.002087,0.002000,0.002344,0.015871,0.014937
omega12,0.011960,0.011407,0.001363,0.001676,0.001248,0.001464,0.001126,0.001391,0.001071,0.001391,0.001192,0.001464,0.001422,0.001676,0.011960,0.011407
omega13,0.009364,0.008967,0.001083,0.001247,0.000844,0.001071,0.000794,0.001012,0.000803,0.001012,0.000870,0.001071,0.001059,0.001247,0.009396,0.008967
omega14,0.007365,0.007035,0.000774,0.000933,0.000597,0.000790,0.000549,0.000743,0.000583,0.000743,0.000613,0.000790,0.000776,0.000933,0.007351,0.007036
omega15,0.005687,0.005497,0.000597,0.000700,0.000454,0.000586,0.000430,0.000548,0.000425,0.000548,0.000446,0.000586,0.000577,0.000700,0.005733,0.005497
omega16,0.004461,0.004289,0.000439,0.000528,0.000336,0.000437,0.000303,0.000407,0.000311,0.000407,0.000334,0.000437,0.000443,0.000528,0.004473,0.004289
omega17,0.003469,0.003348,0.000336,0.000400,0.000249,0.000328,0.000234,0.000305,0.000215,0.000305,0.000248,0.000328,0.000336,0.000400,0.003477,0.003348
omega18,0.002705,0.002620,0.000246,0.000305,0.000188,0.000248,0.000174,0.000230,0.000172,0.000230,0.000194,0.000248,0.000252,0.000305,0.002705,0.002620
omega19,0.002119,0.002057,0.000187,0.000234,0.000150,0.000189,0.000134,0.000175,0.000128,0.000175,0.000148,0.000189,0.000190,0.000234,0.002127,0.002057
omega20,0.001666,0.001622,0.000147,0.000181,0.000113,0.000145,0.000099,0.000134,0.000098,0.000134,0.000112,0.000145,0.000151,0.000181,0.001672,0.001622
omega21,0.001323,0.001285,0.000117,0.000141,0.000086,0.000112,0.000078,0.000103,0.000077,0.000103,0.000087,0.000112,0.000115,0.000141,0.001326,0.001285
omega22,0.001051,0.001023,0.000090,0.000110,0.000068,0.000088,0.000059,0.000080,0.000059,0.000080,0.000067,0.000088,0.000092,0.000110,0.001051,0.001023
omega23,0.000839,0.000819,0.000071,0.000087,0.000054,0.000069,0.000047,0.000063,0.000047,0.000063,0.000053,0.000069,0.000072,0.000087,0.000841,0.000819
omega24,0.000674,0.000659,0.000056,0.000069,0.000041,0.000055,0.000038,0.000050,0.000037,0.000050,0.000043,0.000055,0.000056,0.000069,0.000675,0.000659
omega25,0.000547,0.000533,0.000045,0.000055,0.000032,0.000043,0.000030,0.000040,0.000029,0.000040,0.000034,0.000043,0.000045,0.000055,0.000543,0.000533
omega26,0.000443,0.000433,0.000036,0.000044,0.000026,0.000035,0.000024,0.000032,0.000023,0.000032,0.000026,0.000035,0.000036,0.000044,0.000443,0.000433
omega27,0.000362,0.000354,0.000029,0.000036,0.000021,0.000028,0.000019,0.000026,0.000019,0.000026,0.000022,0.000028,0.000030,0.000036,0.000362,0.000354
omega28,0.000296,0.000291,0.000024,0.000029,0.000017,0.000023,0.000015,0.000021,0.000015,0.000021,0.000017,0.000023,0.000024,0.000029,0.000297,0.000291
omega29,0.000245,0.000240,0.000020,0.000024,0.000014,0.000019,0.000013,0.000017,0.000012,0.000017,0.000014,0.000019,0.000019,0.000024,0.000245,0.000240
omega30,0.000203,0.000199,0.000016,0.000020,0.000012,0.000015,0.000010,0.000014,0.000010,0.000014,0.000011,0.000015,0.000016,0.000020,0.000203,0.000199
omega31,0.000169,0.000166,0.000013,0.000016,0.000009,0.000013,0.000009,0.000012,0.000008,0.000012,0.000010,0.000013,0.000013,0.000016,0.000169,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.362982,0.336619
1,0.050457,0.058005
2,0.043486,0.053452
3,0.042951,0.051924
4,0.040470,0.051924
5,0.043621,0.053452
6,0.052264,0.058005
7,0.363769,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000093,0.000080
2,0.001810,0.001555
3,0.010093,0.009016
4,0.028359,0.026052
5,0.056199,0.052612
6,0.110350,0.106855
7,0.214344,0.217005
8,0.213662,0.215751
9,0.119973,0.121391
10,0.064199,0.065261
11,0.042080,0.042735
12,0.031341,0.031875
13,0.024214,0.024592
14,0.018607,0.019003
15,0.014349,0.014664
16,0.011100,0.011322
17,0.008564,0.008762
18,0.006635,0.006806
19,0.005182,0.005310
20,0.004057,0.004164
21,0.003211,0.003283
22,0.002537,0.002603
23,0.002024,0.002075
24,0.001621,0.001665
25,0.001304,0.001343
26,0.001058,0.001089
27,0.000863,0.000888
28,0.000706,0.000728
29,0.000583,0.000600
30,0.000482,0.000497
31,0.000401,0.000414

End
