Hybrid Ocean Spectrum Export
WindSpeed,7.071
RegionSize,100
N_omega,32
N_theta,8
Date,20251211_184117

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000041,0.000032,0.000003,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000003,0.000002,0.000004,0.000003,0.000041,0.000032
omega2,0.000720,0.000622,0.000060,0.000062,0.000042,0.000049,0.000036,0.000044,0.000040,0.000044,0.000049,0.000049,0.000067,0.000062,0.000720,0.000622
omega3,0.004153,0.003550,0.000372,0.000380,0.000278,0.000302,0.000235,0.000277,0.000210,0.000277,0.000278,0.000302,0.000339,0.000380,0.004153,0.003550
omega4,0.011115,0.010010,0.001130,0.001172,0.000802,0.000957,0.000734,0.000887,0.000697,0.000887,0.000852,0.000957,0.001056,0.001172,0.011219,0.010010
omega5,0.021590,0.019472,0.002289,0.002585,0.001889,0.002191,0.001870,0.002059,0.001823,0.002059,0.001940,0.002191,0.002568,0.002585,0.021290,0.019472
omega6,0.041036,0.037331,0.005498,0.005866,0.004837,0.005225,0.003910,0.005006,0.003562,0.005006,0.004474,0.005225,0.005193,0.005866,0.040172,0.037331
omega7,0.075511,0.069277,0.011744,0.013593,0.010541,0.012929,0.010132,0.012704,0.010864,0.012704,0.011457,0.012929,0.012467,0.013593,0.075204,0.069277
omega8,0.072152,0.066808,0.013006,0.014013,0.010976,0.013594,0.011240,0.013461,0.011565,0.013461,0.010601,0.013594,0.012571,0.014013,0.072152,0.066808
omega9,0.041895,0.039598,0.006210,0.007394,0.006029,0.006931,0.005392,0.006772,0.005540,0.006772,0.005481,0.006931,0.006714,0.007394,0.042003,0.039598
omega10,0.023393,0.022136,0.003233,0.003758,0.002670,0.003425,0.002638,0.003311,0.002595,0.003311,0.002842,0.003425,0.003250,0.003758,0.023393,0.022136
omega11,0.015614,0.014937,0.002086,0.002344,0.001658,0.002087,0.001630,0.001999,0.001665,0.001999,0.001676,0.002087,0.001916,0.002344,0.015747,0.014937
omega12,0.011959,0.011407,0.001430,0.001676,0.001265,0.001464,0.001153,0.001391,0.001068,0.001391,0.001176,0.001464,0.001366,0.001676,0.011926,0.011407
omega13,0.009241,0.008967,0.001082,0.001247,0.000861,0.001071,0.000797,0.001012,0.000748,0.001012,0.000886,0.001071,0.001053,0.001247,0.009412,0.008967
omega14,0.007294,0.007035,0.000781,0.000933,0.000622,0.000790,0.000563,0.000743,0.000591,0.000743,0.000620,0.000790,0.000794,0.000933,0.007386,0.007036
omega15,0.005735,0.005497,0.000579,0.000700,0.000496,0.000586,0.000434,0.000548,0.000424,0.000548,0.000469,0.000586,0.000581,0.000700,0.005712,0.005497
omega16,0.004381,0.004289,0.000452,0.000528,0.000358,0.000437,0.000327,0.000407,0.000328,0.000407,0.000350,0.000437,0.000451,0.000528,0.004430,0.004289
omega17,0.003518,0.003348,0.000343,0.000400,0.000258,0.000328,0.000243,0.000305,0.000230,0.000305,0.000277,0.000328,0.000346,0.000400,0.003403,0.003348
omega18,0.002681,0.002620,0.000264,0.000305,0.000200,0.000248,0.000185,0.000230,0.000181,0.000230,0.000205,0.000248,0.000260,0.000305,0.002711,0.002620
omega19,0.002120,0.002057,0.000195,0.000234,0.000153,0.000189,0.000140,0.000175,0.000139,0.000175,0.000158,0.000189,0.000201,0.000234,0.002096,0.002057
omega20,0.001640,0.001622,0.000158,0.000181,0.000118,0.000145,0.000107,0.000134,0.000109,0.000134,0.000119,0.000145,0.000153,0.000181,0.001671,0.001622
omega21,0.001331,0.001285,0.000121,0.000141,0.000090,0.000112,0.000083,0.000103,0.000081,0.000103,0.000093,0.000112,0.000121,0.000141,0.001328,0.001285
omega22,0.001037,0.001023,0.000095,0.000110,0.000074,0.000088,0.000065,0.000080,0.000067,0.000080,0.000073,0.000088,0.000095,0.000110,0.001047,0.001023
omega23,0.000848,0.000819,0.000076,0.000087,0.000056,0.000069,0.000051,0.000063,0.000051,0.000063,0.000057,0.000069,0.000077,0.000087,0.000826,0.000819
omega24,0.000687,0.000659,0.000060,0.000069,0.000045,0.000055,0.000041,0.000050,0.000043,0.000050,0.000046,0.000055,0.000059,0.000069,0.000674,0.000659
omega25,0.000549,0.000533,0.000049,0.000055,0.000036,0.000043,0.000033,0.000040,0.000033,0.000040,0.000036,0.000043,0.000047,0.000055,0.000550,0.000533
omega26,0.000439,0.000433,0.000039,0.000044,0.000029,0.000035,0.000026,0.000032,0.000026,0.000032,0.000030,0.000035,0.000039,0.000044,0.000444,0.000433
omega27,0.000362,0.000354,0.000032,0.000036,0.000024,0.000028,0.000021,0.000026,0.000021,0.000026,0.000024,0.000028,0.000032,0.000036,0.000358,0.000354
omega28,0.000299,0.000291,0.000026,0.000029,0.000019,0.000023,0.000018,0.000021,0.000017,0.000021,0.000019,0.000023,0.000026,0.000029,0.000297,0.000291
omega29,0.000246,0.000240,0.000021,0.000024,0.000016,0.000019,0.000014,0.000017,0.000014,0.000017,0.000016,0.000019,0.000021,0.000024,0.000243,0.000240
omega30,0.000203,0.000199,0.000018,0.000020,0.000013,0.000015,0.000012,0.000014,0.000012,0.000014,0.000013,0.000015,0.000018,0.000020,0.000202,0.000199
omega31,0.000170,0.000166,0.000015,0.000016,0.000011,0.000013,0.000010,0.000012,0.000010,0.000012,0.000011,0.000013,0.000015,0.000016,0.000168,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.361957,0.336619
1,0.051467,0.058005
2,0.044469,0.053452
3,0.042144,0.051924
4,0.042755,0.051924
5,0.044331,0.053452
6,0.051900,0.058005
7,0.360977,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000098,0.000080
2,0.001735,0.001555
3,0.010017,0.009016
4,0.027605,0.026052
5,0.055259,0.052612
6,0.108680,0.106855
7,0.217920,0.217005
8,0.214263,0.215751
9,0.119265,0.121391
10,0.064013,0.065261
11,0.041991,0.042735
12,0.031343,0.031875
13,0.024080,0.024592
14,0.018653,0.019003
15,0.014430,0.014664
16,0.011078,0.011322
17,0.008618,0.008762
18,0.006687,0.006806
19,0.005202,0.005310
20,0.004075,0.004164
21,0.003247,0.003283
22,0.002553,0.002603
23,0.002042,0.002075
24,0.001655,0.001665
25,0.001333,0.001343
26,0.001072,0.001089
27,0.000875,0.000888
28,0.000721,0.000728
29,0.000591,0.000600
30,0.000490,0.000497
31,0.000408,0.000414

End
