Hybrid Ocean Spectrum Export
WindSpeed,7.071
RegionSize,100
N_omega,32
N_theta,8
Date,20251211_185034

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000041,0.000032,0.000004,0.000003,0.000003,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000002,0.000003,0.000003,0.000041,0.000032
omega2,0.000748,0.000622,0.000063,0.000062,0.000045,0.000049,0.000049,0.000044,0.000029,0.000044,0.000050,0.000049,0.000068,0.000062,0.000722,0.000622
omega3,0.004112,0.003550,0.000356,0.000380,0.000257,0.000302,0.000223,0.000277,0.000203,0.000277,0.000292,0.000302,0.000345,0.000380,0.004112,0.003550
omega4,0.011355,0.010010,0.001047,0.001172,0.000835,0.000957,0.000708,0.000887,0.000829,0.000887,0.000955,0.000957,0.001059,0.001172,0.010934,0.010010
omega5,0.021648,0.019472,0.002196,0.002585,0.001945,0.002191,0.001621,0.002059,0.001844,0.002059,0.001877,0.002191,0.002375,0.002585,0.021648,0.019472
omega6,0.040497,0.037331,0.005343,0.005866,0.004425,0.005225,0.004211,0.005006,0.004530,0.005006,0.004274,0.005225,0.005275,0.005866,0.040930,0.037331
omega7,0.075099,0.069277,0.013104,0.013593,0.010914,0.012929,0.011345,0.012704,0.010499,0.012704,0.010741,0.012929,0.012319,0.013593,0.075715,0.069277
omega8,0.070729,0.066808,0.011829,0.014013,0.011288,0.013594,0.011224,0.013461,0.009780,0.013461,0.011241,0.013594,0.012217,0.014013,0.072116,0.066808
omega9,0.042225,0.039598,0.006631,0.007394,0.005837,0.006931,0.005388,0.006772,0.005685,0.006772,0.005723,0.006931,0.006085,0.007394,0.042550,0.039598
omega10,0.023407,0.022136,0.003201,0.003758,0.002894,0.003425,0.002566,0.003311,0.002725,0.003311,0.002759,0.003425,0.003217,0.003758,0.023359,0.022136
omega11,0.015816,0.014937,0.001966,0.002344,0.001721,0.002087,0.001652,0.001999,0.001581,0.001999,0.001792,0.002087,0.002137,0.002344,0.015816,0.014937
omega12,0.011942,0.011407,0.001397,0.001676,0.001116,0.001464,0.001057,0.001391,0.001109,0.001391,0.001209,0.001464,0.001502,0.001676,0.012041,0.011407
omega13,0.009438,0.008967,0.001049,0.001247,0.000828,0.001071,0.000781,0.001012,0.000778,0.001012,0.000810,0.001071,0.001088,0.001247,0.009427,0.008967
omega14,0.007314,0.007035,0.000803,0.000933,0.000644,0.000790,0.000571,0.000743,0.000570,0.000743,0.000619,0.000790,0.000823,0.000933,0.007314,0.007036
omega15,0.005727,0.005497,0.000602,0.000700,0.000463,0.000586,0.000432,0.000548,0.000411,0.000548,0.000468,0.000586,0.000579,0.000700,0.005718,0.005497
omega16,0.004442,0.004289,0.000444,0.000528,0.000332,0.000437,0.000312,0.000407,0.000314,0.000407,0.000336,0.000437,0.000452,0.000528,0.004478,0.004289
omega17,0.003456,0.003348,0.000330,0.000400,0.000248,0.000328,0.000237,0.000305,0.000239,0.000305,0.000261,0.000328,0.000342,0.000400,0.003465,0.003348
omega18,0.002707,0.002620,0.000245,0.000305,0.000197,0.000248,0.000171,0.000230,0.000173,0.000230,0.000187,0.000248,0.000253,0.000305,0.002707,0.002620
omega19,0.002116,0.002057,0.000194,0.000234,0.000145,0.000189,0.000132,0.000175,0.000133,0.000175,0.000148,0.000189,0.000192,0.000234,0.002122,0.002057
omega20,0.001671,0.001622,0.000148,0.000181,0.000109,0.000145,0.000099,0.000134,0.000103,0.000134,0.000110,0.000145,0.000149,0.000181,0.001673,0.001622
omega21,0.001321,0.001285,0.000116,0.000141,0.000085,0.000112,0.000078,0.000103,0.000075,0.000103,0.000085,0.000112,0.000117,0.000141,0.001322,0.001285
omega22,0.001051,0.001023,0.000090,0.000110,0.000065,0.000088,0.000059,0.000080,0.000060,0.000080,0.000068,0.000088,0.000090,0.000110,0.001051,0.001023
omega23,0.000840,0.000819,0.000071,0.000087,0.000052,0.000069,0.000048,0.000063,0.000047,0.000063,0.000053,0.000069,0.000071,0.000087,0.000839,0.000819
omega24,0.000675,0.000659,0.000056,0.000069,0.000041,0.000055,0.000037,0.000050,0.000037,0.000050,0.000042,0.000055,0.000057,0.000069,0.000675,0.000659
omega25,0.000545,0.000533,0.000045,0.000055,0.000033,0.000043,0.000029,0.000040,0.000030,0.000040,0.000033,0.000043,0.000045,0.000055,0.000545,0.000533
omega26,0.000443,0.000433,0.000036,0.000044,0.000026,0.000035,0.000024,0.000032,0.000023,0.000032,0.000026,0.000035,0.000036,0.000044,0.000441,0.000433
omega27,0.000361,0.000354,0.000029,0.000036,0.000022,0.000028,0.000019,0.000026,0.000018,0.000026,0.000021,0.000028,0.000029,0.000036,0.000362,0.000354
omega28,0.000297,0.000291,0.000024,0.000029,0.000017,0.000023,0.000015,0.000021,0.000016,0.000021,0.000017,0.000023,0.000024,0.000029,0.000297,0.000291
omega29,0.000245,0.000240,0.000019,0.000024,0.000014,0.000019,0.000013,0.000017,0.000012,0.000017,0.000014,0.000019,0.000019,0.000024,0.000245,0.000240
omega30,0.000203,0.000199,0.000016,0.000020,0.000012,0.000015,0.000010,0.000014,0.000010,0.000014,0.000012,0.000015,0.000016,0.000020,0.000203,0.000199
omega31,0.000169,0.000166,0.000013,0.000016,0.000010,0.000013,0.000009,0.000012,0.000009,0.000012,0.000010,0.000013,0.000013,0.000016,0.000169,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.360641,0.336619
1,0.051469,0.058005
2,0.044623,0.053452
3,0.043121,0.051924
4,0.041873,0.051924
5,0.044237,0.053452
6,0.050999,0.058005
7,0.363038,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000099,0.000080
2,0.001775,0.001555
3,0.009900,0.009016
4,0.027722,0.026052
5,0.055154,0.052612
6,0.109484,0.106855
7,0.219736,0.217005
8,0.210424,0.215751
9,0.120124,0.121391
10,0.064129,0.065261
11,0.042481,0.042735
12,0.031372,0.031875
13,0.024197,0.024592
14,0.018658,0.019003
15,0.014401,0.014664
16,0.011110,0.011322
17,0.008578,0.008762
18,0.006640,0.006806
19,0.005182,0.005310
20,0.004061,0.004164
21,0.003199,0.003283
22,0.002534,0.002603
23,0.002022,0.002075
24,0.001619,0.001665
25,0.001304,0.001343
26,0.001056,0.001089
27,0.000863,0.000888
28,0.000707,0.000728
29,0.000582,0.000600
30,0.000482,0.000497
31,0.000402,0.000414

End
