Height Histogram Export
Region,0
Bins,64
Min,-1.166884
Max,1.633497
TotalPixels,262144

binIndex,hMin,hMax,count,probability
0,-1.166884,-1.123128,28,0.00010681
1,-1.123128,-1.079372,34,0.00012970
2,-1.079372,-1.035616,78,0.00029755
3,-1.035616,-0.991860,114,0.00043488
4,-0.991860,-0.948104,198,0.00075531
5,-0.948104,-0.904348,318,0.00121307
6,-0.904348,-0.860592,391,0.00149155
7,-0.860592,-0.816836,732,0.00279236
8,-0.816836,-0.773080,1108,0.00422669
9,-0.773080,-0.729325,1506,0.00574493
10,-0.729325,-0.685569,1876,0.00715637
11,-0.685569,-0.641813,2101,0.00801468
12,-0.641813,-0.598057,2434,0.00928497
13,-0.598057,-0.554301,3050,0.01163483
14,-0.554301,-0.510545,3738,0.01425934
15,-0.510545,-0.466789,4240,0.01617432
16,-0.466789,-0.423033,5131,0.01957321
17,-0.423033,-0.379277,6258,0.02387238
18,-0.379277,-0.335521,7104,0.02709961
19,-0.335521,-0.291765,8297,0.03165054
20,-0.291765,-0.248009,9794,0.03736115
21,-0.248009,-0.204253,10647,0.04061508
22,-0.204253,-0.160497,11871,0.04528427
23,-0.160497,-0.116741,12653,0.04826736
24,-0.116741,-0.072985,13758,0.05248260
25,-0.072985,-0.029229,14545,0.05548477
26,-0.029229,0.014527,15210,0.05802155
27,0.014527,0.058283,15146,0.05777740
28,0.058283,0.102039,14687,0.05602646
29,0.102039,0.145795,13922,0.05310822
30,0.145795,0.189551,13196,0.05033875
31,0.189551,0.233307,11844,0.04518127
32,0.233307,0.277063,10886,0.04152679
33,0.277063,0.320819,9126,0.03481293
34,0.320819,0.364575,7986,0.03046417
35,0.364575,0.408331,6574,0.02507782
36,0.408331,0.452087,5579,0.02128220
37,0.452087,0.495843,4458,0.01700592
38,0.495843,0.539599,3506,0.01337433
39,0.539599,0.583355,2333,0.00889969
40,0.583355,0.627110,1737,0.00662613
41,0.627110,0.670866,1042,0.00397492
42,0.670866,0.714622,706,0.00269318
43,0.714622,0.758378,526,0.00200653
44,0.758378,0.802134,355,0.00135422
45,0.802134,0.845890,245,0.00093460
46,0.845890,0.889646,162,0.00061798
47,0.889646,0.933402,151,0.00057602
48,0.933402,0.977158,122,0.00046539
49,0.977158,1.020914,107,0.00040817
50,1.020914,1.064670,91,0.00034714
51,1.064670,1.108426,85,0.00032425
52,1.108426,1.152182,88,0.00033569
53,1.152182,1.195938,79,0.00030136
54,1.195938,1.239694,31,0.00011826
55,1.239694,1.283450,27,0.00010300
56,1.283450,1.327206,27,0.00010300
57,1.327206,1.370962,24,0.00009155
58,1.370962,1.414718,13,0.00004959
59,1.414718,1.458474,19,0.00007248
60,1.458474,1.502230,13,0.00004959
61,1.502230,1.545986,13,0.00004959
62,1.545986,1.589742,14,0.00005341
63,1.589742,1.633498,10,0.00003815
