Hybrid Ocean Spectrum Export
WindSpeed,15.000
RegionSize,100
N_omega,32
N_theta,8
Date,20251212_122810

Full 2D Spectrum (normalized)
Bin,theta0_meas,theta0_theory,theta1_meas,theta1_theory,theta2_meas,theta2_theory,theta3_meas,theta3_theory,theta4_meas,theta4_theory,theta5_meas,theta5_theory,theta6_meas,theta6_theory,theta7_meas,theta7_theory
omega0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
omega1,0.000052,0.000032,0.000004,0.000003,0.000004,0.000002,0.000003,0.000002,0.000003,0.000002,0.000004,0.000002,0.000004,0.000003,0.000049,0.000032
omega2,0.000743,0.000622,0.000098,0.000062,0.000067,0.000049,0.000061,0.000044,0.000064,0.000044,0.000064,0.000049,0.000074,0.000062,0.000704,0.000622
omega3,0.004494,0.003550,0.000398,0.000380,0.000382,0.000302,0.000386,0.000277,0.000386,0.000277,0.000382,0.000302,0.000381,0.000380,0.003875,0.003550
omega4,0.010643,0.010009,0.001173,0.001172,0.001227,0.000957,0.001137,0.000887,0.001109,0.000887,0.001018,0.000957,0.001467,0.001172,0.010643,0.010009
omega5,0.018351,0.019471,0.003031,0.002585,0.002770,0.002191,0.002697,0.002059,0.002650,0.002059,0.002467,0.002191,0.002674,0.002585,0.017904,0.019471
omega6,0.038041,0.037328,0.006687,0.005866,0.006137,0.005225,0.006225,0.005005,0.006138,0.005005,0.006407,0.005225,0.006079,0.005866,0.038686,0.037328
omega7,0.062315,0.069273,0.014923,0.013592,0.015563,0.012928,0.014956,0.012704,0.015965,0.012704,0.013852,0.012928,0.014743,0.013592,0.066897,0.069274
omega8,0.060566,0.066809,0.014003,0.014013,0.013165,0.013595,0.016086,0.013461,0.016225,0.013461,0.015686,0.013595,0.014869,0.014013,0.075019,0.066810
omega9,0.036753,0.039600,0.006201,0.007395,0.007392,0.006931,0.008050,0.006773,0.008105,0.006773,0.007505,0.006931,0.007224,0.007395,0.036108,0.039600
omega10,0.020636,0.022138,0.003259,0.003759,0.003662,0.003425,0.003993,0.003311,0.003993,0.003311,0.003506,0.003425,0.003847,0.003759,0.019337,0.022138
omega11,0.013726,0.014938,0.002327,0.002344,0.002116,0.002087,0.002302,0.001999,0.002333,0.001999,0.002094,0.002087,0.002179,0.002344,0.013489,0.014938
omega12,0.010356,0.011407,0.001667,0.001676,0.001576,0.001464,0.001630,0.001391,0.001618,0.001391,0.001519,0.001464,0.001558,0.001676,0.009617,0.011407
omega13,0.007562,0.008967,0.001216,0.001247,0.001071,0.001071,0.001168,0.001012,0.001175,0.001012,0.001121,0.001071,0.001082,0.001247,0.007659,0.008967
omega14,0.005702,0.007036,0.000820,0.000933,0.000810,0.000790,0.000854,0.000743,0.000847,0.000743,0.000775,0.000790,0.000870,0.000933,0.006184,0.007036
omega15,0.004680,0.005498,0.000673,0.000700,0.000608,0.000586,0.000607,0.000548,0.000605,0.000548,0.000580,0.000586,0.000661,0.000700,0.004859,0.005498
omega16,0.003672,0.004289,0.000471,0.000528,0.000441,0.000437,0.000449,0.000407,0.000466,0.000407,0.000446,0.000437,0.000484,0.000528,0.003908,0.004289
omega17,0.002800,0.003349,0.000367,0.000400,0.000324,0.000328,0.000341,0.000305,0.000342,0.000305,0.000328,0.000328,0.000370,0.000400,0.002806,0.003349
omega18,0.002118,0.002620,0.000284,0.000305,0.000245,0.000248,0.000255,0.000230,0.000255,0.000230,0.000239,0.000248,0.000294,0.000305,0.002191,0.002620
omega19,0.001741,0.002057,0.000204,0.000234,0.000185,0.000189,0.000194,0.000175,0.000193,0.000175,0.000188,0.000189,0.000209,0.000234,0.001686,0.002057
omega20,0.001385,0.001622,0.000160,0.000181,0.000144,0.000145,0.000146,0.000134,0.000145,0.000134,0.000140,0.000145,0.000163,0.000181,0.001404,0.001622
omega21,0.001064,0.001285,0.000128,0.000141,0.000108,0.000112,0.000115,0.000103,0.000110,0.000103,0.000114,0.000112,0.000127,0.000141,0.001117,0.001285
omega22,0.000848,0.001023,0.000102,0.000110,0.000085,0.000088,0.000087,0.000080,0.000088,0.000080,0.000086,0.000088,0.000096,0.000110,0.000822,0.001023
omega23,0.000688,0.000819,0.000074,0.000087,0.000065,0.000069,0.000069,0.000063,0.000069,0.000063,0.000066,0.000069,0.000076,0.000087,0.000665,0.000819
omega24,0.000546,0.000659,0.000060,0.000069,0.000052,0.000055,0.000055,0.000050,0.000054,0.000050,0.000053,0.000055,0.000062,0.000069,0.000547,0.000659
omega25,0.000457,0.000533,0.000048,0.000055,0.000043,0.000043,0.000044,0.000040,0.000043,0.000040,0.000042,0.000043,0.000048,0.000055,0.000460,0.000533
omega26,0.000364,0.000433,0.000038,0.000044,0.000034,0.000035,0.000035,0.000032,0.000035,0.000032,0.000034,0.000035,0.000038,0.000044,0.000341,0.000433
omega27,0.000288,0.000354,0.000032,0.000036,0.000027,0.000028,0.000028,0.000026,0.000028,0.000026,0.000027,0.000028,0.000031,0.000036,0.000302,0.000354
omega28,0.000241,0.000291,0.000026,0.000029,0.000022,0.000023,0.000022,0.000021,0.000023,0.000021,0.000022,0.000023,0.000026,0.000029,0.000242,0.000291
omega29,0.000196,0.000240,0.000021,0.000024,0.000018,0.000019,0.000018,0.000017,0.000018,0.000017,0.000018,0.000019,0.000021,0.000024,0.000198,0.000240
omega30,0.000162,0.000199,0.000018,0.000020,0.000015,0.000015,0.000015,0.000014,0.000015,0.000014,0.000015,0.000015,0.000018,0.000020,0.000162,0.000199
omega31,0.000139,0.000166,0.000015,0.000016,0.000012,0.000013,0.000012,0.000012,0.000012,0.000012,0.000012,0.000013,0.000014,0.000016,0.000136,0.000166

Directional Marginals: sum over omega for each theta
thetaIndex,meas_sum,theory_sum
0,0.311329,0.336619
1,0.058527,0.058005
2,0.058369,0.053452
3,0.062042,0.051924
4,0.063115,0.051924
5,0.058812,0.053452
6,0.059791,0.058005
7,0.328016,0.336620

Frequency Marginals: sum over theta for each omega
omegaIndex,meas_sum,theory_sum
0,0.000001,0.000000
1,0.000122,0.000080
2,0.001876,0.001555
3,0.010685,0.009016
4,0.028418,0.026051
5,0.052545,0.052610
6,0.114401,0.106847
7,0.219214,0.216993
8,0.225618,0.215759
9,0.117339,0.121399
10,0.062231,0.065265
11,0.040566,0.042737
12,0.029541,0.031876
13,0.022055,0.024593
14,0.016862,0.019004
15,0.013272,0.014665
16,0.010337,0.011323
17,0.007677,0.008763
18,0.005881,0.006806
19,0.004602,0.005310
20,0.003688,0.004164
21,0.002883,0.003283
22,0.002215,0.002603
23,0.001773,0.002075
24,0.001429,0.001665
25,0.001186,0.001343
26,0.000919,0.001089
27,0.000763,0.000888
28,0.000624,0.000728
29,0.000509,0.000600
30,0.000418,0.000497
31,0.000353,0.000414

End
